#{"t_start": 1764870135.157609, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-772.573566,74,850.725653
-452.078985,92,852.370532
-69.298819,101,854.160412
-856.405653,89,855.671301
-847.126851,82,857.077203
-778.543166,78,858.375112
-393.806704,76,859.602063
-173.379769,100,861.335902
-714.81613,86,862.874798
-144.214741,97,864.462727
-133.902979,100,866.200562
-181.375456,97,867.834447
-150.196513,102,869.644326
-491.784926,90,871.281205
-728.524267,90,872.840135
-144.243409,97,874.467988
-172.252522,111,876.343851
-333.052033,176,879.342643
-228.987797,96,880.954527
-554.411973,188,884.112354
-266.959093,116,886.071175
-289.757118,114,888.062029
-410.036901,131,890.280874
-255.62033,94,891.853765
-226.537985,93,893.381661
-329.879396,132,895.564504
-454.442279,168,898.399309
-497.68009,195,901.687077
-214.147162,154,904.434925
-626.051003,201,907.956635
-560.334384,187,911.097416
-400.894124,143,913.494249
-234.296679,114,915.418113
-445.260546,177,918.90987
-301.330636,172,922.399628
-486.700634,73,923.679535
-375.498309,130,925.877378
-341.404713,178,928.84917
-229.326481,237,932.808892
-423.655571,249,937.040603
-237.939334,183,940.220372
-428.118251,234,944.04811
-237.998722,261,948.437799
-291.217361,266,952.955485
-417.091831,207,956.520233
-192.595027,259,961.937855
-599.794943,380,968.699378
-68.123992,107,970.602243
-257.527412,255,975.136965
-277.161924,256,979.487621
-333.009488,219,983.211359
-565.21942,368,989.411929
-231.398663,132,991.842758
-488.576461,109,993.742626
-165.965461,271,998.500289
-106.338942,388,1005.083828
-351.514796,254,1009.585541
-86.884657,1000,1026.756353
-297.051922,682,1038.323498
-266.410162,1000,1055.894312
-102.713482,1000,1074.575376
-268.384477,536,1085.010849
-249.020739,1000,1103.966937
-217.932668,1000,1123.125971
-169.012804,1000,1141.982028
-175.115673,1000,1162.671956
-202.362406,1000,1181.08103
-198.804232,1000,1199.480108
-195.590737,1000,1219.473103
-200.873326,1000,1238.869126
-237.588395,1000,1259.551092
-229.87465,1000,1279.551086
-126.222618,246,1283.766873
-243.475953,1000,1304.767818
-211.594466,1000,1325.142796
-160.414481,1000,1347.14069
-155.872366,1000,1366.887737
